PROPERTY_ID,LOCATION,TOTAL_AREA,PRICE,PREDICTED_PRICE
0,"Kanathur Reddikuppam, Chennai",2583,19900000,19819000.0
1,"Ramanathan Nagar, Pozhichalur,Chennai",7000,22500000,23601000.0
2,"Kasthuribai Nagar, West Tambaram,Chennai",1320,10000000,9950000.0
3,"Naveenilaya,Chepauk, Triplicane,Chennai",4250,33300000,33221000.0
4,"Avadi, Chennai",960,4800000,4788000.0
5,"Siruseri, Chennai",940,4000000,4014000.0
6,"Thiran Flats ,Gowrivakkam, Sembakkam,Chennai",880,6000000,6006000.0
7,"Mahindra World City, Chennai",1700,7235000,7219650.0
8,"Brindavan Colony, West Tambaram,Chennai",840,4200000,4160640.0
9,"New Colony, Chromepet,Chennai",535,3000000,3006210.0
10,"Mahindra World City, Chennai",581,2940000,2950280.0
11,"Rose Avenue, Pallikaranai,Chennai",1444,13000000,13023000.0
12,"Ramakrishna Puram, West Mambalam,Chennai",6000,85000000,84405000.0
13,"Deepak Home,Mettuppalayam, Ashok Nagar,Chennai",878,11500000,11451000.0
14,"Chimaera Apartments,Madambakkam, Chennai",944,4900000,4867700.0
15,"Perungalathur, Chennai",1317,5700000,5693320.0
16,"Arun Excello ,Padappai, Chennai",820,2500000,2501600.0
17,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,26000000,25894000.0
18,"Muttukadu, Chennai",4200,29700000,29625000.0
19,"Ramanathan Nagar, Pozhichalur,Chennai",2838,16200000,16850000.0
20,"Kolapakkam - Vandalur, Chennai",1566,10800000,10789000.0
21,"Penta Concept Enclave,Thiruverkkadu, Chennai",2350,10000000,9927500.0
22,"Mgr Nagar, Ayappakkam,Chennai",868,4000000,3999480.0
23,"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",926,8900000,8900000.0
24,"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",1090,6300000,6325000.0
25,"Elim Nagar, Perungudi,Chennai",1307,9000000,8981580.0
26,"Senganmal, Chennai",605,2500000,2503700.0
27,"Vaishnavi Nagar, Thirumullaivoyal,Chennai",967,4950000,4868600.0
28,"Live Green,Kattur, Chennai",586,2900000,2903400.0
29,"Tiruvancheri, Selaiyur,Chennai",1038,4500000,4509780.0
30,"Sholinganallur, Chennai",1500,7000000,7002000.0
31,"Semmanjeri, Semmancheri,Chennai",1133,4600000,4568000.0
32,"Annamalai Colony, Saligramam,Chennai",1100,8950000,8962000.0
33,"Vn Nattrunai ,Thirumullaivoyal, Chennai",1024,4500000,4496610.0
34,"Krishna Nagar, Sriperumbudur,Chennai",1508,5400000,5406500.0
35,"Ponmar, Chennai",1782,8700000,8768000.0
36,"Swarnambigai Nagar, Virugambakkam,Chennai",2500,25000000,24970000.0
37,"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",900,7000000,7000000.0
38,"Meenakshi Avenue, West Tambaram,Chennai",537,2600000,2588000.0
39,"Kottavakkam, Chennai",1292,9000000,9056500.0
40,"Arjunamedu, Thiruverkkadu,Chennai",1096,5400000,5406870.0
41,"Bharathi Nagar, Ayanavaram,Chennai",2300,24000000,23938000.0
42,"Livegreen Constructions,Sembakkam, Chennai",586,2900000,2903400.0
43,"Arulmurugan Nagar, Old Pallavaram,Chennai",1112,9000000,8991000.0
44,"Veppampattu, Chennai",560,2480000,2483600.0
45,"Shankar Nagar, Pammal,Chennai",856,3700000,3702000.0
46,"Naveen Vanagaram,Kanchuma Puram, Vanagaram ,Chennai",1079,6500000,6493000.0
47,"Land Marvel Karpagambal,Jeth Nagar, Chennai",1100,12000000,11988000.0
48,"Madambakkam, Chennai",1432,5600000,5572000.0
49,"Urapakkam, Chennai",932,4500000,4499700.0
50,"Madambakkam, Chennai",1500,4500000,4350000.0
51,"Tambaram Mount, West Tambaram,Chennai",1200,7500000,7500000.0
52,"Building Velachery ,Anna Nagar Extension, Velachery,Chennai",590,3200000,3204300.0
53,"Shri Vihar ,Sembakkam, Chennai",1570,8500000,8511510.0
54,"Krishnaveni Nagar, Medavakkam,Chennai",808,3600000,3600600.0
55,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1582,5000000,5053900.0
56,"Tnhb Colony, Villivakkam,Chennai",2400,22500000,22442000.0
57,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1350,16000000,16042000.0
58,"Kandasamy Nagar, Porur,Chennai",1400,6500000,6506000.0
59,"Viswas Castle,Urapakkam, Chennai",950,3200000,3205560.0
60,"Puzhal, Chennai",850,5500000,5499500.0
61,"Venkateshwara Nagar, Ramapuram,Chennai",860,5400000,5399500.0
62,"Velachery, Chennai",1300,7900000,7884500.0
63,"Ramakrishna Nagar, Raja Annamalai Puram,Chennai",780,8500000,8558000.0
64,"Kallikuppam, Ambattur,Chennai",1100,6700000,6703000.0
65,"Ags Colony, Adambakkam,Chennai",1193,9900000,9902000.0
66,"Lakshmipuram, Kolathur,Chennai",1350,12000000,11946000.0
67,"Veera Vanchinathan Nagar, Perungudi,Chennai",1200,7500000,7500000.0
68,"Akshaya,Periyar Nagar, Perambur,Chennai",946,6300000,6238000.0
69,"Thirumangalam, Anna Nagar West,Chennai",1065,8800000,8784500.0
70,"Mudichur, Chennai",580,2686000,2662500.0
71,"Ramaniyam Gauravv ,Sholinganallur, Chennai",1160,6490000,6484550.0
72,"Arasankazhani, Perumbakkam,Chennai",1055,5800000,5799940.0
73,"Dharan Singh Colony, Vadapalani,Chennai",1940,27500000,27544000.0
